"","from","Augur","Digix","Golem"
"530",1.17202119665234e+47,1,0,0
"531",1.17411825298978e+47,0,4,0
"532",1.17421436194839e+47,1,0,0
"533",1.17731164010136e+47,0,0,1
"534",1.17908667840685e+47,4,0,0
"535",1.17984433027481e+47,1,0,0
"536",1.18590260005983e+47,0,1,0
"537",1.18736076414098e+47,2,0,0
"538",1.18827389273626e+47,0,0,1
"539",1.19652527385627e+47,1,0,0
"540",1.20331060075376e+47,0,0,3
"541",1.20375637697304e+47,0,4,0
"542",1.20511210248898e+47,0,1,0
"543",1.20898246132332e+47,1,0,0
"544",1.21088553797107e+47,0,1,0
"545",1.21192473289295e+47,1,0,0
"546",1.21449756131883e+47,0,7,0
"547",1.21853780572656e+47,2,0,0
"548",1.21949567672265e+47,0,0,2
"549",1.22156470848128e+47,0,1,0
"550",1.22860858987007e+47,2,0,0
"551",1.229945351432e+47,0,1,0
"552",1.23022850027685e+47,2,0,0
"553",1.23240749227956e+47,0,2,0
"554",1.23326671978886e+47,0,1,0
"555",1.23408759269756e+47,1,0,0
"556",1.24035692765529e+47,0,1,0
"557",1.24858872846433e+47,0,0,3
"558",1.24929803772579e+47,1,0,0
"559",1.25211229643923e+47,2,0,0
"560",1.25551896837967e+47,0,1,0
"561",1.25576265793378e+47,0,1,0
"562",1.25876559720201e+47,3,0,0
"563",1.25876585257618e+47,35,0,0
"564",1.25887469134186e+47,0,0,2
"565",1.26019522719407e+47,0,0,1
"566",1.2613406442906e+47,0,1,0
"567",1.26155063777142e+47,0,0,5
"568",1.26348966471403e+47,0,0,3
"569",1.27085924488708e+47,0,1,0
"570",1.27111405161888e+47,0,6,0
"571",1.2740189221282e+47,71,0,0
"572",1.28298850077798e+47,0,1,0
"573",1.286951107844e+47,0,0,3
"574",1.28704578275359e+47,3,0,0
"575",1.28927563728972e+47,0,0,3
"576",1.29183455098583e+47,0,1,0
"577",1.29330366765362e+47,0,3,12
"578",1.29493331272868e+47,0,1,0
"579",1.30430561564669e+47,0,0,29
"580",1.30854628263627e+47,2,0,0
"581",1.30944008914958e+47,0,0,7
"582",1.31503568497445e+47,0,1,0
"583",1.31586771647772e+47,0,0,1
"584",1.31716158874724e+47,1,0,0
"585",1.31720770876063e+47,0,1,0
"586",1.31800475343506e+47,1,0,0
"587",1.31918073800006e+47,3,0,0
"588",1.32104249699323e+47,0,0,4
"589",1.32199132256632e+47,0,1,0
"590",1.32779528920429e+47,0,1,0
"591",1.32851672164868e+47,0,0,1
"592",1.32879059574068e+47,1,0,0
"593",1.33317557319964e+47,0,1,0
"594",1.3364127083135e+47,0,0,1
"595",1.34250783929376e+47,0,1,0
"596",1.34660546960535e+47,0,1,0
"597",1.35364328334674e+47,31,0,0
"598",1.35652765949136e+47,4,0,0
"599",1.35947834274341e+47,0,2,0
"600",1.36002921591581e+47,19,0,0
"601",1.36188284061648e+47,0,12,0
"602",1.36272818388729e+47,0,1,0
"603",1.36405373582676e+47,1,4,3
"604",1.36425236169123e+47,0,0,1
"605",1.36751339283051e+47,1,0,0
"606",1.3696240762785e+47,0,0,15
"607",1.36963791728901e+47,0,0,1
"608",1.37030683004164e+47,2,0,0
"609",1.37177522663301e+47,0,1,0
"610",1.37193679961925e+47,0,0,5
"611",1.37224985932332e+47,0,7,0
"612",1.37355243921081e+47,3,0,0
"613",1.37751191182495e+47,2,0,0
"614",1.377937838883e+47,1,0,0
"615",1.38110656668705e+47,1,0,0
"616",1.38120235571696e+47,0,1,0
"617",1.38170343611124e+47,0,1,0
"618",1.39274101819232e+47,1,0,0
"619",1.39431308929009e+47,0,0,1
"620",1.39542612961027e+47,0,1,0
"621",1.39760604616813e+47,0,0,2
"622",1.40217733355328e+47,3,0,0
"623",1.40501629455679e+47,7,0,0
"624",1.40581210940515e+47,0,1,0
"625",1.4137697865307e+47,0,0,1
"626",1.41379438263887e+47,1,0,0
"627",1.41416037709632e+47,0,0,7
"628",1.41491553833487e+47,2,0,0
"629",1.4187457151e+47,0,1,0
"630",1.42129966429871e+47,1,0,0
"631",1.42279279202982e+47,0,0,3
"632",1.42467865796894e+47,2,0,0
"633",1.42517480860759e+47,0,0,1
"634",1.42781425418234e+47,0,0,5
"635",1.42900869887614e+47,0,1,0
"636",1.44165607066896e+47,0,4,0
"637",1.44197846824305e+47,0,0,1
"638",1.44424409712554e+47,0,1,0
"639",1.44754992910444e+47,1,0,0
"640",1.4495305785996e+47,0,1,0
"641",1.45207255064383e+47,1,0,0
"642",1.45242492472858e+47,0,0,1
"643",1.45294437578676e+47,1,0,0
"644",1.45422954528224e+47,0,1,0
"645",1.45537083142504e+47,0,3,0
"646",1.45747520799452e+47,0,1,0
"647",1.45912549523267e+47,0,3,0
"648",1.46416306373337e+47,0,1,0
"649",1.46472340103203e+47,0,1,0
"650",1.46585291686202e+47,0,8,0
"651",1.46754406053018e+47,1,0,0
"652",1.4753139808715e+47,0,1,0
"653",1.47667230275889e+47,0,1,0
"654",1.47692505324818e+47,1,0,0
"655",1.47885130633396e+47,2,0,0
"656",1.48062371277156e+47,0,0,24
"657",1.48415480957249e+47,1,0,0
"658",1.48418692804927e+47,1,0,0
"659",1.4866523019608e+47,0,0,3
"660",1.48746593913769e+47,0,3,0
"661",1.48881043438555e+47,0,0,1
"662",1.49071609428653e+47,0,7,0
"663",1.49145183918117e+47,1,0,0
"664",1.49444632321626e+47,4,0,0
"665",1.49715602599771e+47,0,1,0
"666",1.49958030808896e+47,0,0,1
"667",1.50264574079367e+47,0,0,2
"668",1.50413880772503e+47,0,1,0
"669",1.50428922734845e+47,0,0,4
"670",1.50558831177722e+47,1,0,0
"671",1.50739846971247e+47,0,1,0
"672",1.51574164471886e+47,0,3,0
"673",1.51602121714274e+47,2,0,0
"674",1.51982833893297e+47,2,0,0
"675",1.52396322175221e+47,0,1,0
"676",1.52617503344004e+47,25,0,0
"677",1.52919145189761e+47,0,1,0
"678",1.52928652451089e+47,1,0,0
"679",1.52950778445726e+47,1,0,0
"680",1.53068754079384e+47,26,0,0
"681",1.53291875793943e+47,0,0,1
"682",1.53458948776111e+47,2,14,11
"683",1.53853495419312e+47,4,0,0
"684",1.54030749395937e+47,1,0,0
